signal_id,symbol,setup_name,entry_ts,exit_ts,entry_price,stop_price,r_multiple,rank_score,skip_reason,open_slots,open_exposure_usd,open_risk_usd,entry_notional_usd,risk_to_stop_usd
XLU_PrevDayBreakout_D1_145,XLU,PrevDayBreakout_D1,2025-12-30 05:00:00+00:00,2026-01-02 05:00:00+00:00,42.865,42.635,2.0,0.19806,no_slot,3,359.49,14.21,42.865,0.23
IEMG_TwoDayBreakout_D1_146,IEMG,TwoDayBreakout_D1,2025-12-31 05:00:00+00:00,2026-01-02 05:00:00+00:00,67.44,66.94,2.0,0.023015,no_slot,3,278.855,1.09,67.44,0.5
EEM_TwoDayBreakout_D1_146,EEM,TwoDayBreakout_D1,2025-12-31 05:00:00+00:00,2026-01-02 05:00:00+00:00,54.9,54.435,2.0,0.019605,no_slot,3,278.855,1.09,54.9,0.465
IWD_MeanReversion_D1_147,IWD,MeanReversion_D1,2026-01-02 05:00:00+00:00,2026-01-02 05:00:00+00:00,211.11,210.28,-1.0,0.330035,no_slot,3,967.0,6.915,211.11,0.83
IEMG_MeanReversion_D1_147,IEMG,MeanReversion_D1,2026-01-02 05:00:00+00:00,2026-01-08 05:00:00+00:00,68.59,67.22,0.854,0.27651,no_slot,3,967.0,6.915,68.59,1.37
EEM_MeanReversion_D1_147,EEM,MeanReversion_D1,2026-01-02 05:00:00+00:00,2026-01-08 05:00:00+00:00,55.89,54.675,0.7901,0.150075,no_slot,3,967.0,6.915,55.89,1.215
XME_PrevDayBreakout_D1_148,XME,PrevDayBreakout_D1,2026-01-05 05:00:00+00:00,2026-01-09 05:00:00+00:00,109.7,103.04,1.0781,0.41173,no_slot,3,745.255,13.2,109.7,6.66
XME_TwoDayBreakout_D1_148,XME,TwoDayBreakout_D1,2026-01-05 05:00:00+00:00,2026-01-09 05:00:00+00:00,109.7,103.04,1.0781,0.3496,no_slot,3,745.255,13.2,109.7,6.66
EEM_TwoDayBreakout_D1_148,EEM,TwoDayBreakout_D1,2026-01-05 05:00:00+00:00,2026-01-09 05:00:00+00:00,56.59,54.675,0.282,0.339655,no_slot,3,745.255,13.2,56.59,1.915
IEMG_TwoDayBreakout_D1_148,IEMG,TwoDayBreakout_D1,2026-01-05 05:00:00+00:00,2026-01-09 05:00:00+00:00,69.345,67.22,0.3294,0.331635,no_slot,3,745.255,13.2,69.345,2.125
SMH_PrevDayBreakout_D1_148,SMH,PrevDayBreakout_D1,2026-01-05 05:00:00+00:00,2026-01-09 05:00:00+00:00,381.69,360.1,0.3534,0.3139,no_slot,3,745.255,13.2,381.69,21.59
XLU_PrevDayBreakout_D1_148,XLU,PrevDayBreakout_D1,2026-01-05 05:00:00+00:00,2026-01-05 05:00:00+00:00,43.19,42.68,-1.0,0.12366,no_slot,3,745.255,13.2,43.19,0.51
SMH_TwoDayBreakout_D1_148,SMH,TwoDayBreakout_D1,2026-01-05 05:00:00+00:00,2026-01-09 05:00:00+00:00,381.69,360.1,0.3534,0.076335,no_slot,3,745.255,13.2,381.69,21.59
XLI_TwoDayBreakout_D1_148,XLI,TwoDayBreakout_D1,2026-01-05 05:00:00+00:00,2026-01-09 05:00:00+00:00,158.365,155.06,1.0817,-0.119785,no_slot,3,745.255,13.2,158.365,3.305
IWM_PrevDayBreakout_D1_148,IWM,PrevDayBreakout_D1,2026-01-05 05:00:00+00:00,2026-01-08 05:00:00+00:00,249.785,246.01,2.0,-0.19316,no_slot,3,745.255,13.2,249.785,3.775
XAR_TwoDayBreakout_D1_148,XAR,TwoDayBreakout_D1,2026-01-05 05:00:00+00:00,2026-01-09 05:00:00+00:00,253.5,240.75,1.811,-0.196415,no_slot,3,745.255,13.2,253.5,12.75
IEMG_PrevDayBreakout_D1_149,IEMG,PrevDayBreakout_D1,2026-01-06 05:00:00+00:00,2026-01-12 05:00:00+00:00,70.08,68.535,0.5599,0.512275,no_slot,3,745.255,13.2,70.08,1.545
EEM_PrevDayBreakout_D1_149,EEM,PrevDayBreakout_D1,2026-01-06 05:00:00+00:00,2026-01-12 05:00:00+00:00,57.185,55.825,0.5441,0.497545,no_slot,3,745.255,13.2,57.185,1.36
XME_PrevDayBreakout_D1_149,XME,PrevDayBreakout_D1,2026-01-06 05:00:00+00:00,2026-01-12 05:00:00+00:00,112.36,104.77,1.0685,0.41173,no_slot,3,745.255,13.2,112.36,7.59
