signal_id,symbol,setup_name,entry_ts,exit_ts,entry_price,stop_price,r_multiple,rank_score,skip_reason,open_slots,open_exposure_usd,open_risk_usd,entry_notional_usd,risk_to_stop_usd
IWD_MeanReversion_D1_45,IWD,MeanReversion_D1,2025-08-19 04:00:00+00:00,2025-08-19 04:00:00+00:00,198.39,198.11,2.0,0.563286,no_slot,1,50.1,0.21,198.39,0.28
QQQ_MeanReversion_D1_46,QQQ,MeanReversion_D1,2025-08-20 04:00:00+00:00,2025-08-20 04:00:00+00:00,568.31,568.26,-1.0,0.346675,no_slot,1,151.16,0.86,568.31,0.05
XLU_PrevDayBreakout_D1_46,XLU,PrevDayBreakout_D1,2025-08-20 04:00:00+00:00,2025-08-25 04:00:00+00:00,86.23,85.135,-1.0,0.250214,no_slot,1,151.16,0.86,86.23,1.095
XLP_TwoDayBreakout_D1_46,XLP,TwoDayBreakout_D1,2025-08-20 04:00:00+00:00,2025-08-25 04:00:00+00:00,82.71,81.65,-1.0,-0.286025,no_slot,1,151.16,0.86,82.71,1.06
QQQ_MeanReversion_D1_47,QQQ,MeanReversion_D1,2025-08-21 04:00:00+00:00,2025-08-27 04:00:00+00:00,564.35,558.9,1.6881,0.197044,no_slot,1,86.12,0.98,564.35,5.45
XLV_PrevDayBreakout_D1_47,XLV,PrevDayBreakout_D1,2025-08-21 04:00:00+00:00,2025-08-27 04:00:00+00:00,137.305,135.88,-0.2421,-0.039843,no_slot,1,86.12,0.98,137.305,1.425
IEMG_MeanReversion_D1_47,IEMG,MeanReversion_D1,2025-08-21 04:00:00+00:00,2025-08-22 04:00:00+00:00,61.705,61.53,2.0,-0.255362,no_slot,1,86.12,0.98,61.705,0.175
XLP_TwoDayBreakout_D1_47,XLP,TwoDayBreakout_D1,2025-08-21 04:00:00+00:00,2025-08-25 04:00:00+00:00,82.58,81.865,-1.0,-0.286025,no_slot,1,86.12,0.98,82.58,0.715
EEM_MeanReversion_D1_47,EEM,MeanReversion_D1,2025-08-21 04:00:00+00:00,2025-08-22 04:00:00+00:00,49.58,49.45,2.0,-0.523383,no_slot,1,86.12,0.98,49.58,0.13
XME_PrevDayBreakout_D1_48,XME,PrevDayBreakout_D1,2025-08-22 04:00:00+00:00,2025-08-22 04:00:00+00:00,77.49,76.455,2.0,0.363406,no_slot,1,86.12,0.98,77.49,1.035
XBI_TwoDayBreakout_D1_48,XBI,TwoDayBreakout_D1,2025-08-22 04:00:00+00:00,2025-08-28 04:00:00+00:00,90.395,88.245,-0.0442,0.0411,no_slot,1,86.12,0.98,90.395,2.15
